順位,曲名,アーティスト
1,怪獣の花唄,Vaundy
2,好きすぎて滅！,M!LK
3,3月9日,レミオロメン
4,残酷な天使のテーゼ,高橋洋子
5,ダーリン,Mrs. GREEN APPLE
6,IRIS OUT,米津玄師
7,水平線,back number
8,マリーゴールド,あいみょん
9,さよならエレジー,菅田将暉
10,サウダージ,ポルノグラフィティ
11,ライラック,Mrs. GREEN APPLE
12,ドライフラワー,優里
13,奏(かなで),スキマスイッチ
14,恋人ごっこ,マカロニえんぴつ
15,高嶺の花子さん,back number
16,小さな恋のうた,MONGOL800
17,点描の唄(feat.井上苑子),Mrs. GREEN APPLE
18,チェリー,スピッツ
19,ひまわりの約束,秦 基博
20,とくべチュ、して,=LOVE
21,アゲハ蝶,ポルノグラフィティ
22,キセキ,GReeeeN
23,爆裂愛してる,M!LK
24,愛をこめて花束を,Superfly
25,366日,HY
26,革命道中,アイナ･ジ･エンド
27,シルエット,KANA-BOON
28,lulu.,Mrs. GREEN APPLE
29,ケセラセラ,Mrs. GREEN APPLE
30,丸の内サディスティック,椎名林檎
31,怪獣,サカナクション
32,カブトムシ,aiko
33,アイノカタチ feat.HIDE(GReeeeN),MISIA
34,ハレンチ,ちゃんみな
35,愛のかたまり,KinKi Kids
36,正解,RADWIMPS
37,シングルベッド,シャ乱Q
38,タッチ,岩崎良美
39,ハナミズキ,一青 窈
40,Story,AI
41,Blue Jeans,HANA
42,倍倍FIGHT!,CANDY TUNE
43,チャンカパーナ,NEWS
44,Soranji,Mrs. GREEN APPLE
45,Lemon,米津玄師
46,イケナイ太陽,ORANGE RANGE
47,花束,back number
48,糸,中島みゆき
49,シャルル,バルーン
50,最後の雨,中西保志
51,チェックのワンピース,back number
52,ヒロイン,back number
53,恋,back number
54,大阪LOVER,DREAMS COME TRUE
55,かわいいだけじゃだめですか？,CUTIE STREET
56,Pretender,Official髭男dism
57,ハッピーエンド,back number
58,シンデレラボーイ,Saucy Dog
59,世界が終るまでは…,WANDS
60,ただ君に晴れ,ヨルシカ
61,幸せ,back number
62,僕のこと,Mrs. GREEN APPLE
63,I LOVE YOU,尾崎豊
64,君が代,国歌
65,気まぐれロマンティック,いきものがかり
66,Love so sweet,嵐
67,サクラウサギ,川崎鷹也
68,島人ぬ宝,BEGIN
69,新宝島,サカナクション
70,歌うたいのバラッド,斉藤和義
71,栄光の架橋,ゆず
72,虹,菅田将暉
73,115万キロのフィルム,Official髭男dism
74,青と夏,Mrs. GREEN APPLE
75,ブルーアンバー,back number
76,粉雪,レミオロメン
77,晩餐歌,tuki.
78,魔法の絨毯,川崎鷹也
79,桜,コブクロ
80,花束のかわりにメロディーを,清水翔太
81,メロディー,玉置浩二
82,KissHug,aiko
83,JANE DOE,"米津玄師, 宇多田ヒカル"
84,トリセツ,西野カナ
85,桜が降る夜は,あいみょん
86,First Love,宇多田ヒカル
87,HANABI,Mr.Children
88,コイスルオトメ,いきものがかり
89,裸の心,あいみょん
90,幾億光年,Omoinotake
91,ビリミリオン,優里
92,愛を伝えたいだとか,あいみょん
92,さくらんぼ,大塚 愛
94,楓,スピッツ
95,Bling-Bang-Bang-Born,Creepy Nuts
96,白日,King Gnu
97,君の為のキミノウタ,川崎鷹也
98,アイネクライネ,米津玄師
99,カリスマックス,Snow Man
100,道,EXILE
